Designator,Mid X,Mid Y,Rotation,Layer
C1,168.75,-72.3,90.0,bottom
C2,169.25,-89.95,90.0,bottom
C3,168.75,-108.7,90.0,bottom
D1,150.25,-68.0,0.0,top
D10,163.25,-98.0,0.0,top
D11,175.25,-98.0,0.0,top
D12,187.25,-98.0,0.0,top
D13,155.25,-112.0,0.0,top
D14,165.2625,-114.0,0.0,top
D15,175.2625,-117.0,0.0,top
D16,185.2625,-114.0,0.0,top
D17,195.25,-112.0,0.0,top
D18,150.25,-128.0,0.0,top
D19,163.25,-133.0,0.0,top
D2,163.25,-63.0,0.0,top
D20,187.25,-133.0,0.0,top
D21,200.25,-128.0,0.0,top
D3,187.25,-63.0,0.0,top
D4,200.25,-68.0,0.0,top
D5,155.25,-84.0,0.0,top
D6,164.7625,-82.0,0.0,top
D7,175.2625,-79.0,0.0,top
D8,184.2625,-82.0,0.0,top
D9,195.275,-84.0,0.0,top
J1,149.375,-98.005,0.0,bottom
J2,203.75,-97.73,0.0,bottom
Q1,149.4375,-71.75,180.0,bottom
Q10,162.4375,-101.5,180.0,bottom
Q11,174.465,-101.5,180.0,bottom
Q12,186.465,-101.6,180.0,bottom
Q13,154.4375,-115.5,180.0,bottom
Q14,164.6875,-117.5,180.0,bottom
Q15,174.6875,-120.5,180.0,bottom
Q16,184.6875,-117.5,180.0,bottom
Q17,194.4375,-115.5,180.0,bottom
Q18,149.6875,-131.5,180.0,bottom
Q19,162.8125,-136.45,180.0,bottom
Q2,162.4375,-66.75,180.0,bottom
Q20,186.4375,-136.5,180.0,bottom
Q21,199.6875,-131.75,180.0,bottom
Q3,186.5,-66.25,180.0,bottom
Q4,199.6875,-71.5,180.0,bottom
Q5,154.4375,-87.5,180.0,bottom
Q6,163.9375,-85.5,180.0,bottom
Q7,174.6875,-82.5,180.0,bottom
Q8,183.4375,-85.5,180.0,bottom
Q9,194.6875,-87.25,180.0,bottom
R1,153.75,-68.0,270.0,bottom
R10,166.75,-97.9125,270.0,bottom
R11,178.75,-97.75,270.0,bottom
R12,191.0,-97.8375,270.0,bottom
R13,158.75,-112.0,270.0,bottom
R14,169.0,-113.9125,270.0,bottom
R15,178.75,-116.75,270.0,bottom
R16,188.75,-113.75,270.0,bottom
R17,198.75,-111.9125,270.0,bottom
R18,154.0,-128.0,270.0,bottom
R19,167.25,-132.9125,270.0,bottom
R2,167.0,-63.0,270.0,bottom
R20,191.0,-133.0,270.0,bottom
R21,204.0,-127.9125,270.0,bottom
R3,190.75,-63.0,270.0,bottom
R4,204.0,-68.0,270.0,bottom
R5,159.0,-84.0,270.0,bottom
R6,168.5,-82.0,270.0,bottom
R7,178.75,-78.9125,270.0,bottom
R8,187.75,-81.9125,270.0,bottom
R9,199.0,-83.9125,270.0,bottom
U1,175.155,-71.725,180.0,bottom
U2,175.425,-89.975,180.0,bottom
U3,175.155,-108.475,180.0,bottom
